old_id,new_id,reason
1217,410,dup
1218,185,dup
1219,1219,
1220,72,dup
1221,1124,dup
1222,195,dup
1223,85,dup
1224,1224,
1225,194,dup
1226,30,dup
1227,627,dup
1228,258,dup
1229,451,dup
1230,621,dup
1231,1231,
1232,82,dup
1233,91,dup
1234,1234,
1235,666,dup
1236,541,dup
1237,498,dup
1238,1238,
1239,86,dup
1240,72,dup
1241,22,dup
1242,322,dup
1243,39,dup
1244,18,dup
1245,257,dup
1246,1246,
1247,30,dup
1248,12,dup
1249,128,dup
1250,458,dup
1251,1251,
1252,1252,
1253,720,dup
1254,120,dup
1255,1071,dup
1256,26,dup
1257,296,dup
1258,145,dup
1259,6,dup
1260,1260,
1261,347,dup
1262,1262,
1263,704,dup
1264,1264,
1265,89,dup
1266,1266,
1267,273,dup
1268,720,dup
1269,388,dup
1270,200,dup
1271,133,dup
1272,187,dup
1273,65,dup
1274,967,dup
1275,16,dup
1276,1276,
1277,152,dup
1278,254,dup
1279,34,dup
1280,179,dup
1281,277,dup
1282,1282,
1283,748,dup
1284,277,dup
1285,45,dup
1286,701,dup
1287,705,dup
1288,705,dup
1289,5,dup
1290,1231,dup
1291,66,dup
1292,1039,dup
1293,1293,
1294,1294,
1295,530,dup
1296,227,dup
1297,1297,
1298,1298,
1299,435,dup
1300,960,dup
1301,200,dup
1302,84,dup
1303,82,dup
1304,487,dup
1305,172,dup
1306,832,dup
1307,120,dup
1308,1308,
1309,611,dup
1310,286,dup
1311,1311,
1312,347,dup
1313,384,dup
1314,574,dup
1315,102,dup
1316,277,dup
1317,1317,
1318,715,dup
1319,1020,dup
1320,666,dup
1321,1155,dup
1322,282,dup
1323,554,dup
1324,1224,dup
1325,698,dup
1326,1326,
1327,1327,
1328,490,dup
1329,285,dup
1330,189,dup
1331,1331,
1332,1332,
1333,179,dup
1334,1334,
1335,9,dup
1336,423,dup
1337,637,dup
1338,281,dup
1339,1339,
1340,85,dup
1341,303,dup
1342,61,dup
1343,339,dup
1344,454,dup
1345,303,dup
1346,621,dup
1347,359,dup
1348,248,dup
1349,424,dup
1350,581,dup
1351,823,dup
1352,179,dup
1353,423,dup
1354,95,dup
1355,1355,
1356,1356,
1357,415,dup
1358,347,dup
1359,414,dup
1360,5,dup
1361,433,dup
1362,84,dup
1363,387,dup
1364,1364,
1365,496,dup
1366,191,dup
1367,233,dup
1368,321,dup
1369,72,dup
1370,313,dup
1371,1371,
1372,452,dup
1373,287,dup
1374,1374,
1375,866,dup
1376,211,dup
1377,1190,dup
1378,180,dup
1379,232,dup
1380,387,dup
1381,701,dup
1382,384,dup
1383,1383,
1384,540,dup
1385,1385,
1386,1071,dup
1387,236,dup
1388,1388,
1389,292,dup
1390,238,dup
1391,60,dup
1392,248,dup
1393,24,dup
1394,59,dup
1395,52,dup
1396,152,dup
1397,84,dup
1398,179,dup
1399,1356,dup
1400,186,dup
1401,126,dup
1402,195,dup
1403,498,dup
1404,17,dup
1405,11,dup
1406,204,dup
1407,154,dup
1408,1408,
1409,1409,
1410,180,dup
1411,15,dup
1412,108,dup
1413,133,dup
1414,1383,dup
1415,359,dup
1416,8,dup
1417,839,dup
1418,1418,
1419,8,dup
1420,143,dup
1421,139,dup
1422,24,dup
1423,1383,dup
1424,65,dup
1425,720,dup
1426,1140,dup
1427,99,dup
1428,1039,dup
1429,59,dup
1430,26,dup
1431,193,dup
1432,900,dup
1433,154,dup
1434,18,dup
1435,530,dup
1436,213,dup
1437,1437,
1438,63,dup
1439,329,dup
1440,777,dup
1441,15,dup
1442,402,dup
1443,189,dup
1444,106,dup
1445,126,dup
1446,248,dup
1447,454,dup
1448,1101,dup
1449,254,dup
1450,218,dup
1451,303,dup
1452,307,dup
1453,304,dup
1454,24,dup
1455,30,dup
1456,911,dup
1457,82,dup
1458,522,dup
1459,1459,
1460,1460,
1461,524,dup
1462,1462,
1463,712,dup
1464,1464,
1465,160,dup
1466,1105,dup
1467,1467,
1468,692,dup
1469,84,dup
1470,262,dup
1471,965,dup
1472,490,dup
1473,61,dup
1474,1474,
1475,96,dup
1476,1476,
1477,1124,dup
1478,307,dup
1479,378,dup
1480,1480,
1481,340,dup
1482,292,dup
1483,151,dup
1484,339,dup
1485,112,dup
1486,469,dup
1487,158,dup
1488,443,dup
1489,125,dup
1490,1490,
1491,1491,
1492,490,dup
1493,1493,
1494,615,dup
1495,818,dup
1496,423,dup
1497,115,dup
1498,1498,
1499,538,dup
1500,1500,
1501,108,dup
1502,779,dup
1503,306,dup
1504,701,dup
1505,1505,
1506,1506,
1507,222,dup
1508,200,dup
1509,147,dup
1510,139,dup
1511,150,dup
1512,748,dup
1513,39,dup
1514,208,dup
1515,49,dup
1516,401,dup
1517,433,dup
1518,20,dup
1519,797,dup
1520,1520,
1521,1521,
1522,877,dup
1523,389,dup
1524,115,dup
1525,1525,
1526,69,dup
1527,404,dup
1528,144,dup
1529,1529,
1530,67,dup
1531,75,dup
1532,960,dup
1533,100,dup
1534,811,dup
1535,189,dup
1536,1536,
1537,740,dup
1538,1538,
1539,89,dup
1540,1540,
1541,1541,
1542,213,dup
1543,491,dup
1544,296,dup
1545,194,dup
1546,1546,
1547,82,dup
1548,239,dup
1549,1113,dup
1550,75,dup
1551,302,dup
1552,144,dup
1553,1553,
1554,70,dup
1555,854,dup
1556,248,dup
1557,1557,
1558,191,dup
1559,1559,
1560,342,dup
1561,56,dup
1562,1562,
1563,836,dup
1564,723,dup
1565,701,dup
1566,698,dup
1567,79,dup
1568,260,dup
1569,99,dup
1570,160,dup
1571,1571,
1572,411,dup
1573,258,dup
1574,682,dup
1575,280,dup
1576,1576,
1577,172,dup
1578,748,dup
1579,19,dup
1580,1580,
1581,79,dup
1582,1582,
1583,1088,dup
1584,185,dup
1585,754,dup
1586,1113,dup
1587,80,dup
1588,15,dup
1589,1589,
1590,136,dup
1591,1591,
1592,423,dup
1593,731,dup
1594,83,dup
1595,704,dup
1596,151,dup
1597,68,dup
1598,72,dup
1599,189,dup
1600,82,dup
1601,170,dup
1602,454,dup
1603,818,dup
1604,30,dup
1605,331,dup
1606,1546,dup
1607,232,dup
1608,824,dup
1609,970,dup
1610,265,dup
1611,8,dup
1612,389,dup
1613,193,dup
1614,1282,dup
1615,20,dup
1616,728,dup
1617,1020,dup
1618,117,dup
1619,728,dup
1620,818,dup
1621,160,dup
1622,1356,dup
1623,672,dup
1624,1624,
1625,160,dup
1626,359,dup
1627,151,dup
1628,631,dup
1629,437,dup
1630,1630,
1631,770,dup
1632,410,dup
1633,30,dup
1634,496,dup
1635,25,dup
1636,723,dup
1637,1637,
1638,443,dup
1639,64,dup
1640,1640,
1641,1641,
1642,30,dup
1643,712,dup
1644,581,dup
1645,306,dup
1646,151,dup
1647,343,dup
1648,347,dup
1649,1311,dup
1650,1650,
1651,410,dup
1652,531,dup
1653,1467,dup
1654,702,dup
1655,49,dup
1656,302,dup
1657,346,dup
1658,748,dup
1659,265,dup
1660,520,dup
1661,1661,
1662,886,dup
1663,926,dup
1664,1355,dup
1665,1665,
1666,30,dup
1667,1356,dup
1668,1668,
1669,531,dup
1670,415,dup
1671,511,dup
1672,1672,
1673,24,dup
1674,17,dup
1675,1193,dup
1676,530,dup
1677,1677,
1678,162,dup
1679,603,dup
1680,1680,
1681,558,dup
1682,554,dup
1683,24,dup
1684,6,dup
1685,1124,dup
1686,172,dup
1687,37,dup
1688,73,dup
1689,1689,
1690,1690,
1691,149,dup
1692,36,dup
1693,678,dup
1694,25,dup
1695,823,dup
1696,539,dup
1697,118,dup
1698,1520,dup
1699,589,dup
1700,1700,
1701,3,dup
1702,574,dup
1703,573,dup
1704,102,dup
1705,1705,
1706,335,dup
1707,967,dup
1708,75,dup
1709,158,dup
1710,855,dup
1711,1711,
1712,160,dup
1713,132,dup
1714,106,dup
1715,176,dup
1716,331,dup
